duration,director_facebook_likes,gross,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,country,content_rating,budget,title_year,imdb_score,movie_facebook_likes,user_critic_ratio
178.0,0.0,760505847.0,Avatar,886204,4834,0.0,USA,G,237000000.0,2009.0,7.9,33000,0.23673870333988212
169.0,563.0,309404152.0,Pirates of the Caribbean: At World's End,471220,48350,0.0,USA,G,300000000.0,2007.0,7.1,0,
148.0,0.0,200074175.0,Spectre,275868,11700,1.0,UK,G,245000000.0,2015.0,6.8,85000,
164.0,22000.0,448130642.0,The Dark Knight Rises,1144337,106759,0.0,USA,G,250000000.0,2012.0,8.5,164000,0.30099962976675304
132.0,475.0,73058679.0,John Carter,212204,1873,1.0,USA,G,263700000.0,2012.0,6.6,24000,
156.0,0.0,336530303.0,Spider-Man 3,383056,46055,0.0,USA,G,258000000.0,2007.0,6.2,0,
100.0,15.0,200807262.0,Tangled,294810,2036,1.0,USA,PG,260000000.0,2010.0,7.8,29000,
141.0,0.0,458991599.0,Avengers: Age of Ultron,462669,92000,4.0,USA,G,250000000.0,2015.0,7.5,118000,0.5684870188003581
153.0,282.0,301956980.0,Harry Potter and the Half-Blood Prince,321795,58753,3.0,UK,PG,250000000.0,2009.0,7.5,10000,
183.0,0.0,330249062.0,Batman v Superman: Dawn of Justice,371639,24450,0.0,USA,G,250000000.0,2016.0,6.9,197000,
169.0,0.0,200069408.0,Superman Returns,240396,29991,0.0,USA,G,209000000.0,2006.0,6.1,0,
106.0,395.0,168368427.0,Quantum of Solace,330784,2023,1.0,UK,G,200000000.0,2008.0,6.7,0,
151.0,563.0,423032628.0,Pirates of the Caribbean: Dead Man's Chest,522040,48486,2.0,USA,G,225000000.0,2006.0,7.3,5000,0.17085152838427947
150.0,563.0,89289910.0,The Lone Ranger,181792,45757,1.0,USA,G,215000000.0,2013.0,6.5,48000,
143.0,0.0,291021565.0,Man of Steel,548573,20495,0.0,USA,G,225000000.0,2013.0,7.2,118000,
150.0,80.0,141614023.0,The Chronicles of Narnia: Prince Caspian,149922,22697,4.0,USA,PG,225000000.0,2008.0,6.6,0,
173.0,0.0,623279547.0,The Avengers,995415,87697,3.0,USA,G,220000000.0,2012.0,8.1,123000,0.40824622531939603
136.0,252.0,241063875.0,Pirates of the Caribbean: On Stranger Tides,370704,54083,4.0,USA,G,250000000.0,2011.0,6.7,58000,
106.0,188.0,179020854.0,Men in Black 3,268154,12572,1.0,USA,G,225000000.0,2012.0,6.8,40000,
164.0,0.0,255108370.0,The Hobbit: The Battle of the Five Armies,354228,9152,0.0,Other,G,250000000.0,2014.0,7.5,65000,
153.0,464.0,262030663.0,The Amazing Spider-Man,451803,28489,0.0,USA,G,230000000.0,2012.0,7.0,56000,
156.0,0.0,105219735.0,Robin Hood,211765,3244,0.0,USA,G,200000000.0,2010.0,6.7,17000,
186.0,0.0,258355354.0,The Hobbit: The Desolation of Smaug,483540,9152,6.0,USA,G,225000000.0,2013.0,7.9,83000,
113.0,129.0,70083519.0,The Golden Compass,149019,24106,2.0,USA,G,180000000.0,2007.0,6.1,0,
201.0,0.0,218051260.0,King Kong,316018,7123,0.0,Other,G,207000000.0,2005.0,7.2,0,
194.0,0.0,658672302.0,Titanic,793059,45223,0.0,USA,G,200000000.0,1997.0,7.7,26000,0.12460443037974683
147.0,94.0,407197282.0,Captain America: Civil War,272670,64798,0.0,USA,G,250000000.0,2016.0,8.2,72000,0.5048923679060665
131.0,532.0,65173160.0,Battleship,202382,26679,0.0,USA,G,209000000.0,2012.0,5.9,44000,
124.0,365.0,652177271.0,Jurassic World,418214,8458,0.0,USA,G,150000000.0,2015.0,7.0,150000,0.4992248062015504
